Nombre de la Unidad Económica,Latitud,Longitud
CLINICA VETERINARIA,19.41081263,-99.14257253
CLINICA VETERINARIA,19.45240682,-99.134318
CLINICA VETERINARIA,19.28194472,-99.14357766
CLINICA VETERINARIA,19.24143963,-99.13044747
CLINICA VETERINARIA,19.27909271,-99.12276963
CLINICA VETERINARIA,19.39509148,-99.14147081
CLINICA VETERINARIA,19.37453772,-99.17369873
CLINICA VETERINARIA,19.40153899,-99.14796912
CLINICA VETERINARIA,19.33761307,-99.11926405
CLINICA VETERINARIA,19.32831193,-99.14232401
CLINICA VETERINARIA,19.3127659,-99.16551883
CLINICA VETERINARIA,19.4669825,-99.16669771
CLINICA VETERINARIA,19.31813962,-99.10648338
CLINICA VETERINARIA,19.47130901,-99.1872668
CLINICA VETERINARIA,19.46936162,-99.12476996
CLINICA VETERINARIA,19.4666387,-99.11886647
CLINICA VETERINARIA,19.38897066,-99.07447959
CLINICA VETERINARIA,19.38554679,-99.11170115
CLINICA VETERINARIA,19.46992945,-99.11836776
CLINICA VETERINARIA,19.45509626,-99.08705172
CLINICA VETERINARIA,19.47224418,-99.12338047
CLINICA VETERINARIA,19.3286923,-99.06781303
CLINICA VETERINARIA,19.36386377,-99.02062582
CLINICA VETERINARIA,19.44289436,-99.15744122
CLINICA VETERINARIA ACUATERRA,19.30903226,-99.04463471
CLINICA VETERINARIA AGIABAMPO,19.41173068,-99.11703441
CLINICA VETERINARIA AGUILAS,19.35162492,-99.220786
CLINICA VETERINARIA ALFARO,19.19246119,-99.02051064
CLINICA VETERINARIA ALICE BALAM,19.44699996,-99.06674522
CLINICA VETERINARIA ALPHAVET,19.40874929,-99.19750453
CLINICA VETERINARIA ALVAREZ YAÑEZ,19.50363741,-99.08274804
CLINICA VETERINARIA AMASCOTAS,19.40140549,-99.06904035
CLINICA VETERINARIA AMIGO DE MASCOTAS,19.23968569,-99.11379421
CLINICA VETERINARIA AMIGOS DE 4 PATAS,19.35484839,-99.06994094
CLINICA VETERINARIA AMIGOS PELUDOS,19.34103662,-99.07530086
CLINICA VETERINARIA ANIMAL,19.36209855,-99.18488907
CLINICA VETERINARIA ANIMAL FRIENDS,19.36809261,-99.28820653
CLINICA VETERINARIA ANIMAL GRANJAS,19.47462435,-99.17553865
CLINICA VETERINARIA ANIMAL HEALT,19.40273894,-99.19756642
CLINICA VETERINARIA ANIMAL KINGDOM,19.37685741,-99.17465491
CLINICA VETERINARIA ANIMAL PETS,19.46562555,-99.12080874
CLINICA VETERINARIA ANIMAL PROTEC,19.41173324,-99.11422646
CLINICA VETERINARIA ANIMAL VET,19.17693575,-98.99836891
CLINICA VETERINARIA ANIMALANDIA,19.36643536,-99.20900903
CLINICA VETERINARIA ANIMALIA,19.3390703,-99.20509391
CLINICA VETERINARIA ANIMALIC,19.33789247,-99.01199191
CLINICA VETERINARIA ANIMALITOS,19.46628558,-99.1798055
CLINICA VETERINARIA ANIMALS,19.33364086,-99.1028531
CLINICA VETERINARIA ANTARES,19.35929174,-99.13610248
CLINICA VETERINARIA ARCA DE NOE COYOACAN,19.33238019,-99.15402862
CLINICA VETERINARIA ARENAL,19.42962583,-99.05778826
CLINICA VETERINARIA ARES,19.31551705,-99.11064383
CLINICA VETERINARIA ARRYGATO,19.40430862,-99.13103123
CLINICA VETERINARIA ARTEMISA,19.45203503,-99.0712308
CLINICA VETERINARIA ATENCION VETERINARIA INTEGRAL,19.36033523,-99.14454752
CLINICA VETERINARIA AYOTL,19.47932154,-99.18042443
CLINICA VETERINARIA AZCA CENTER,19.46688522,-99.17875246
CLINICA VETERINARIA BARBERIA BIGOTES,19.4547089,-99.10771991
CLINICA VETERINARIA BASTET,19.45412519,-99.1418092
CLINICA VETERINARIA BASTIAN,19.35104534,-99.05869189
CLINICA VETERINARIA BEAT MAR,19.38371241,-99.1068362
CLINICA VETERINARIA BELLAVET,19.46767524,-99.18836673
CLINICA VETERINARIA BENET,19.44027241,-99.16548209
CLINICA VETERINARIA BETANIA,19.38602573,-99.05819062
CLINICA VETERINARIA BILLMAX,19.3916363,-99.09242662
CLINICA VETERINARIA BUTKUS,19.32183353,-99.23948138
CLINICA VETERINARIA CAHVET,19.4973521,-99.08664358
CLINICA VETERINARIA CAMPESTRE,19.33927406,-99.13763858
CLINICA VETERINARIA CAN & CAT,19.32726085,-99.05284884
CLINICA VETERINARIA CANNYS,19.45392304,-99.17688557
CLINICA VETERINARIA CARAMELO SUCURSAL EL OLIVO,19.47425487,-99.08540507
CLINICA VETERINARIA CARLOS S,19.35912753,-99.00708357
CLINICA VETERINARIA CARRILO,19.28858209,-99.12303154
CLINICA VETERINARIA CASA POPULAR,19.32263855,-99.22053028
CLINICA VETERINARIA CAT CAN,19.33080256,-99.0382929
CLINICA VETERINARIA CEMEVETRA,19.28232415,-99.05165538
CLINICA VETERINARIA CENTRAL,19.38476958,-99.14720161
CLINICA VETERINARIA CHV,19.39533436,-99.04996019
CLINICA VETERINARIA CLAVERIA,19.46864594,-99.18248311
CLINICA VETERINARIA CLOVET,19.4221024,-99.1011766
CLINICA VETERINARIA CONDESA PETS CENTER,19.40517586,-99.174214
CLINICA VETERINARIA COYOACAN,19.35311372,-99.15164545
CLINICA VETERINARIA COYOLT CAN,19.49880319,-99.14763516
CLINICA VETERINARIA CRISTAL,19.42738963,-99.09654359
CLINICA VETERINARIA CUENTA CONMIGO,19.40354256,-99.13508491
CLINICA VETERINARIA CULHUACAN,19.33957268,-99.10905807
CLINICA VETERINARIA DALTRHE,19.3060286,-99.11161823
CLINICA VETERINARIA DASHA,19.40111085,-99.16370555
CLINICA VETERINARIA DE AZCAPOTZALCO,19.47792084,-99.1645934
CLINICA VETERINARIA DE ESPECIALIDADES ACANCEH,19.28934466,-99.23726888
CLINICA VETERINARIA DE ESPECIALIDADES INGUARAN,19.46428814,-99.11193519
CLINICA VETERINARIA DE ORIENTE,19.38948612,-99.0621298
CLINICA VETERINARIA DEL DR GUERRA,19.33788659,-99.22233829
CLINICA VETERINARIA DEL PARQUE,19.4682389,-99.1209931
CLINICA VETERINARIA DEL SUR,19.33196856,-99.17466456
CLINICA VETERINARIA DEL VALLE,19.3920348,-99.16416533
CLINICA VETERINARIA DELEGACIONAL,19.30717719,-99.26099575
CLINICA VETERINARIA DELEGACIONAL,19.35498789,-99.05383312
CLINICA VETERINARIA DELEGACIONAL DE TLALPAN,19.29256914,-99.22566478
CLINICA VETERINARIA DERMA PET,19.4496436,-99.16458795
CLINICA VETERINARIA DIAGNOPET,19.39923712,-99.12880521
CLINICA VETERINARIA DIAZ,19.44587911,-99.09709748
CLINICA VETERINARIA DIEGO,19.32010694,-99.14711445
CLINICA VETERINARIA DILAHK,19.54118412,-99.13996707
CLINICA VETERINARIA DINO,19.4270506,-99.14696925
CLINICA VETERINARIA DINOVET,19.40037147,-99.20994707
CLINICA VETERINARIA DOC AN DOC,19.31035542,-99.04509487
CLINICA VETERINARIA DOCTOR COTERA,19.3375848,-99.18484753
CLINICA VETERINARIA DOCTOR DE USLAR,19.37080015,-99.1627943
CLINICA VETERINARIA DOCTOR GUERRERO,19.28203806,-99.17371802
CLINICA VETERINARIA DOCTOR PALMA,19.44848476,-99.21830701
CLINICA VETERINARIA DOCTORES SILVA,19.36043688,-99.14512799
CLINICA VETERINARIA DOG CAT,19.38984812,-99.1618871
CLINICA VETERINARIA DOG HOUSE,19.29148028,-99.07004696
CLINICA VETERINARIA DOG HOUSE,19.4003351,-99.12650028
CLINICA VETERINARIA DOGGIS,19.30460065,-99.12593209
CLINICA VETERINARIA DOGOSHOP,19.37476003,-99.13587086
CLINICA VETERINARIA DOGS Y CATS,19.38634274,-99.14628577
CLINICA VETERINARIA DOGTOR JOHN,19.47013603,-99.07779591
CLINICA VETERINARIA DR COTERA,19.31530128,-99.11136696
CLINICA VETERINARIA DR CUADROS,19.28749152,-99.17132887
CLINICA VETERINARIA DR DOLITTLE,19.3728255,-99.20916446
CLINICA VETERINARIA DR GUERRERO,19.27846594,-99.18086219
CLINICA VETERINARIA DR MEZA,19.28629573,-99.04440525
CLINICA VETERINARIA DR. JUAN RABAGO,19.4033098,-99.19472148
CLINICA VETERINARIA DR. ZABRE,19.42508086,-99.16167363
CLINICA VETERINARIA DURAN,19.5406573,-99.15315666
CLINICA VETERINARIA DUVET,19.47115815,-99.16994958
CLINICA VETERINARIA EDUCAN,19.33517543,-99.13334022
CLINICA VETERINARIA EL DIAMANTE,19.3563167,-99.01534857
CLINICA VETERINARIA EL POTRERO FARMACIA Y CONSULTORIO,19.30885729,-99.06890387
CLINICA VETERINARIA EL REY LEON,19.32174158,-99.0603121
CLINICA VETERINARIA EMILIANO ZAPATA,19.33790837,-98.97908035
CLINICA VETERINARIA ENTRE PERROS Y GATOS,19.4750933,-99.1622391
CLINICA VETERINARIA ESVET,19.3931256,-99.19376053
CLINICA VETERINARIA FITDOG,19.3413986,-99.19326536
CLINICA VETERINARIA GARRITAS,19.40611955,-99.19711661
CLINICA VETERINARIA GLOBALVET,19.35018176,-99.13422981
CLINICA VETERINARIA GLOMBACH,19.25892692,-99.02533469
CLINICA VETERINARIA GUARDIAN,19.40063802,-99.12813856
CLINICA VETERINARIA GUARDIANES DE MASCOTAS,19.2169308,-98.99210102
CLINICA VETERINARIA GUAUMIAU,19.46041109,-99.11350167
CLINICA VETERINARIA GUPPY,19.39508993,-99.1049625
CLINICA VETERINARIA GUSI,19.4440569,-99.13133714
CLINICA VETERINARIA GUYMAN,19.37327349,-99.11928025
CLINICA VETERINARIA HANDY,19.3960079,-99.05195735
CLINICA VETERINARIA HAPPY PET,19.43968193,-99.16714606
CLINICA VETERINARIA HECUBA,19.32892256,-99.27194258
CLINICA VETERINARIA HHG,19.33307966,-99.10815565
CLINICA VETERINARIA HUELLITAS,19.29409105,-99.17687379
CLINICA VETERINARIA HUELLITAS,19.38532629,-99.0515907
CLINICA VETERINARIA IKAL,19.47083626,-99.11431792
CLINICA VETERINARIA INSURGENTES,19.36424474,-99.18360387
CLINICA VETERINARIA ITZAMNA MUNDO ANIMAL,19.42428742,-99.10035441
CLINICA VETERINARIA ITZCUINCALLI,19.30675434,-99.13320269
CLINICA VETERINARIA JAMIDJ,19.32839808,-99.06756257
CLINICA VETERINARIA JARDINES,19.31755075,-99.2100955
CLINICA VETERINARIA JG,19.49116327,-99.19800533
CLINICA VETERINARIA JONAY,19.30827328,-99.15020164
CLINICA VETERINARIA JUAREZ,19.40345962,-99.14240232
CLINICA VETERINARIA JUAREZ RAMIREZ,19.34554342,-99.07748373
CLINICA VETERINARIA KAME VET,19.44478213,-99.11040351
CLINICA VETERINARIA KANIS,19.27503817,-99.17157902
CLINICA VETERINARIA KCHORROS,19.49510465,-99.20671682
